NÚMERO DE INCENDIO,FUENTE,ZONA,PARAJE,MUNICIPIO,COORDENADAS GEOGRÁFICAS NORTE,COORDENADAS GEOGRÁFICAS OESTE,CAUSA,FECHA DE REGISTRO,ESTRATO AFECTADO FORESTAL HOJARASCA,ESTRATO AFECTADO FORESTAL PASTO,ESTRATO AFECTADO FORESTAL ARBUSTO,ESTRATO AFECTADO FORESTAL RENUEVO,ESTRATO AFECTADO NO FORESTAL CULTIVOS,ESTRATO AFECTADO NO FORESTAL PASTIZAL,ESTRATO AFECTADO NO FORESTAL OTROS,SUPERFICIE AFECTADA TOTAL,NÚMERO DE PARTICIPANTES
1,OPD BLP,ZI,LAS TORRES,TALA,"20° 39´ 17.0""",103° 40´ 59.82,DESCONOCIDA,24/01/2019,0.00,21.30,0.00,0.00,0.00,0.00,0.00,21.30,15
2,OPD BLP,ZI,LA TIZNADA,EL ARENAL,"20° 43´ 17.2""","103° 37´ 20.8""",DESCONOCIDA,24/01/2019,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,12
3,OPD BLP,ZI,EL MIRADOR,TALA,"20° 38´ 57.2""","103° 40´ 48.0""",DESCONOCIDA,25/01/2019,0.00,18.30,0.00,0.00,0.00,0.00,0.00,18.30,9
4,OPD BLP,ZI,LOS TAMALES,ZAPOPAN,"20° 43´ 34.7""","103° 30´ 45.1""",QUEMA DE BASURA,26/01/2019,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.05,6
5,OPD BLP,ZP,NENA ARRIOLA,ZAPOPAN,"20° 36'  33.2""","103° 33' 24.0 """,CORTO ELECTRICO,26/01/2019,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,5
6,OPD BLP,ZI,PINAR DE LA VENTA,ZAPOPAN,"20° 43´ 11.0""","103° 37´ 38.9""",DESCONOCIDA,26/01/2019,1.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,48
7,OPD BLP,ZI,LOMAS DE LA PRIMAVERA,ZAPOPAN,20°  38'  02.3'',103°  28'  59.9'',QUEMA DE BASURA,27/01/2019,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.03,8
8,OPD BLP,ZI,LA LIMONERA,EL ARENAL,"20° 43´ 06.2""","103° 37´ 24.4""",DESCONOCIDA,30/01/2019,0.00,0.94,0.00,0.00,0.00,0.00,0.00,0.94,10
9,OPD BLP,ZI,LOS CERRITOS,TALA,"20° 39´ 25.3""","103° 41´  26.6""",DESCONOCIDA,30/01/2019,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.50,14
10,OPD BLP,ZI,CORRAL FALSO,TALA,20°  40'  21.4'',103°  40'  50.4'',QUEMA DE BASURA,01/02/2019,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.75,22
11,OPD BLP,ZI,VILLAS PANAMERICANAS,ZAPOPAN,20°  42'  25.9'',103°  28'  30.5'',DESCONOCIDA,01/02/2019,0.00,7.11,0.00,0.00,0.00,0.00,0.00,7.11,29
